"doctor_id","doctor_name","total_appointments","completed_appointments","lost_appointments","completion_rate","total_revenue","average_revenue_per_appointment"
"D007","Robert Davis","12","5","7","41.67","39632.47","3302.71"
"D010","Linda Wilson","13","5","8","38.46","30812.34","2370.18"
"D002","Jane Davis","14","5","9","35.71","41050.42","2932.17"
"D003","Jane Smith","17","6","11","35.29","40859.96","2403.53"
"D008","Linda Brown","13","4","9","30.77","43112.68","3316.36"
"D001","David Taylor","20","6","14","30.00","54708.84","2735.44"
"D006","Alex Davis","17","5","12","29.41","53234.80","3131.46"
"D004","David Jones","11","3","8","27.27","31182.17","2834.74"
"D009","Sarah Smith","13","3","10","23.08","26557.80","2042.91"
"D005","Sarah Taylor","19","4","15","21.05","57671.67","3035.35"
