"doctor_id","doctor_name","total_appointments_lost","total_revenue_lost","average_revenue_lost_per_appointment"
"D005","Sarah Taylor","15","48926.97","3261.80"
"D001","David Taylor","14","36474.69","2605.34"
"D006","Alex Davis","12","36045.02","3003.75"
"D008","Linda Brown","9","30844.54","3427.17"
"D003","Jane Smith","11","29021.56","2638.32"
"D002","Jane Davis","9","26408.91","2934.32"
"D007","Robert Davis","7","22153.05","3164.72"
"D009","Sarah Smith","10","22140.82","2214.08"
"D010","Linda Wilson","8","21430.82","2678.85"
"D004","David Jones","8","21276.31","2659.54"
